Latitude (decimal degrees):	59.794
Longitude (decimal degrees):	7.568
Elevation (m):	914
Radiation database:	PVGIS-SARAH3


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200103:2011,0.0,0.0,0.0,-4.04,6.34,0.0
20200103:2111,0.0,0.0,0.0,-4.97,6.55,0.0
20200103:2211,0.0,0.0,0.0,-5.66,6.0,0.0
20200103:2311,0.0,0.0,0.0,-6.44,6.62,0.0
20200104:0011,0.0,0.0,0.0,-7.02,6.34,0.0
20200104:0111,0.0,0.0,0.0,-6.78,6.21,0.0
20200104:0211,0.0,0.0,0.0,-6.35,6.41,0.0
20200104:0311,0.0,0.0,0.0,-5.85,6.48,0.0
20200104:0411,0.0,0.0,0.0,-5.52,6.41,0.0
20200104:0511,0.0,0.0,0.0,-5.32,6.28,0.0
20200104:0611,0.0,0.0,0.0,-5.17,5.86,0.0
20200104:0711,0.0,0.0,0.0,-5.21,5.45,0.0
20200104:0811,0.0,0.0,0.0,-5.59,5.03,0.0
20200104:0911,0.0,1.62,2.44,-5.85,4.9,0.0
20200104:1011,0.99,7.7,5.74,-5.81,4.9,0.0
20200104:1111,1.08,7.89,7.34,-5.82,4.9,0.0
20200104:1211,1.07,7.87,7.13,-5.98,4.69,0.0
20200104:1311,0.2,5.93,5.12,-6.28,4.34,0.0
20200104:1411,0.0,0.0,0.0,-6.74,4.07,0.0
20200104:1511,0.0,0.0,0.0,-7.12,3.86,0.0
20200104:1611,0.0,0.0,0.0,-7.41,3.45,0.0
20200104:1711,0.0,0.0,0.0,-8.12,2.97,0.0
20200104:1811,0.0,0.0,0.0,-8.73,2.55,0.0
20200104:1911,0.0,0.0,0.0,-8.95,2.07,0.0
20200104:2011,0.0,0.0,0.0,-9.76,1.93,0.0
20200104:2111,0.0,0.0,0.0,-10.09,1.86,0.0
20200104:2211,0.0,0.0,0.0,-10.13,2.0,0.0
20200104:2311,0.0,0.0,0.0,-10.0,1.93,0.0
20200105:0011,0.0,0.0,0.0,-9.75,1.93,0.0
20200105:0111,0.0,0.0,0.0,-9.02,1.93,0.0
20200105:0211,0.0,0.0,0.0,-8.17,1.66,0.0
20200105:0311,0.0,0.0,0.0,-7.57,1.31,0.0
20200105:0411,0.0,0.0,0.0,-7.18,1.03,0.0
20200105:0511,0.0,0.0,0.0,-6.83,0.9,0.0
20200105:0611,0.0,0.0,0.0,-6.54,0.97,0.0
20200105:0711,0.0,0.0,0.0,-6.44,1.03,0.0
20200105:0811,0.0,0.0,0.0,-6.01,1.31,0.0
20200105:0911,0.0,1.62,2.52,-5.52,1.52,0.0
20200105:1011,8.29,19.66,5.83,-4.79,1.79,0.0
20200105:1111,17.09,31.57,7.44,-3.51,2.28,0.0
20200105:1211,85.93,108.92,7.25,-1.92,3.38,0.0
20200105:1311,0.0,5.08,5.25,-1.2,3.86,0.0
20200105:1411,0.0,0.8,1.6,-0.71,4.34,0.0
20200105:1511,0.0,0.0,0.0,-0.42,4.55,0.0
20200105:1611,0.0,0.0,0.0,-0.3,4.48,0.0
20200105:1711,0.0,0.0,0.0,0.18,4.41,0.0
20200105:1811,0.0,0.0,0.0,0.42,4.55,0.0
20200105:1911,0.0,0.0,0.0,0.35,4.0,0.0
20200105:2011,0.0,0.0,0.0,-0.18,3.59,0.0
20200105:2111,0.0,0.0,0.0,-0.54,3.1,0.0
20200105:2211,0.0,0.0,0.0,-0.66,2.62,0.0
20200105:2311,0.0,0.0,0.0,-0.38,2.07,0.0
20200106:0011,0.0,0.0,0.0,-0.61,1.59,0.0
20200106:0111,0.0,0.0,0.0,-0.61,1.24,0.0
20200106:0211,0.0,0.0,0.0,-0.27,1.1,0.0
20200106:0311,0.0,0.0,0.0,-0.48,1.17,0.0
20200106:0411,0.0,0.0,0.0,-0.42,1.17,0.0
20200106:0511,0.0,0.0,0.0,-0.4,1.24,0.0
20200106:0611,0.0,0.0,0.0,-0.27,1.24,0.0
20200106:0711,0.0,0.0,0.0,-0.08,1.17,0.0
20200106:0811,0.0,0.0,0.0,0.36,1.03,0.0
20200106:0911,0.0,1.62,2.6,0.3,1.1,0.0
20200106:1011,0.18,5.98,5.92,0.64,1.03,0.0
20200106:1111,1.01,7.89,7.56,0.53,1.17,0.0
20200106:1211,1.0,7.87,7.37,0.4,1.38,0.0
20200106:1311,0.0,5.08,5.38,0.6,1.52,0.0
20200106:1411,0.0,0.8,1.74,0.56,1.66,0.0
20200106:1511,0.0,0.0,0.0,0.59,1.93,0.0
20200106:1611,0.0,0.0,0.0,0.61,2.21,0.0
20200106:1711,0.0,0.0,0.0,0.51,2.69,0.0
20200106:1811,0.0,0.0,0.0,0.0,3.1,0.0
20200106:1911,0.0,0.0,0.0,-0.79,2.76,0.0
20200106:2011,0.0,0.0,0.0,-0.97,2.48,0.0
20200106:2111,0.0,0.0,0.0,-0.85,2.34,0.0
20200106:2211,0.0,0.0,0.0,-0.99,2.21,0.0
20200106:2311,0.0,0.0,0.0,-1.14,1.93,0.0
20200107:0011,0.0,0.0,0.0,-0.96,1.86,0.0
20200107:0111,0.0,0.0,0.0,-1.09,1.72,0.0
20200107:0211,0.0,0.0,0.0,-1.12,1.59,0.0
20200107:0311,0.0,0.0,0.0,-1.14,1.59,0.0
20200107:0411,0.0,0.0,0.0,-1.1,1.66,0.0
20200107:0511,0.0,0.0,0.0,-1.11,1.79,0.0
20200107:0611,0.0,0.0,0.0,-0.98,2.0,0.0
20200107:0711,0.0,0.0,0.0,-1.72,2.28,0.0
20200107:0811,0.0,0.0,0.0,-1.6,2.48,0.0
20200107:0911,0.0,1.62,2.69,-1.73,2.69,0.0
20200107:1011,22.71,38.49,6.03,-2.23,2.62,0.0
20200107:1111,1.04,7.89,7.67,-2.31,2.28,0.0
20200107:1211,6.7,17.49,7.5,-2.47,2.34,0.0
20200107:1311,3.67,12.72,5.52,-2.23,2.97,0.0
20200107:1411,0.0,0.8,1.89,-2.06,3.66,0.0
20200107:1511,0.0,0.0,0.0,-1.76,4.21,0.0
20200107:1611,0.0,0.0,0.0,-1.42,4.48,0.0
20200107:1711,0.0,0.0,0.0,-0.88,4.14,0.0
20200107:1811,0.0,0.0,0.0,-0.29,3.86,0.0
20200107:1911,0.0,0.0,0.0,0.3,4.21,0.0
20200107:2011,0.0,0.0,0.0,0.78,4.55,0.0
20200107:2111,0.0,0.0,0.0,1.22,4.83,0.0
20200107:2211,0.0,0.0,0.0,1.61,4.48,0.0
20200107:2311,0.0,0.0,0.0,1.79,4.34,0.0
20200108:0011,0.0,0.0,0.0,2.74,4.69,0.0
20200108:0111,0.0,0.0,0.0,3.1,4.55,0.0
20200108:0211,0.0,0.0,0.0,2.97,4.48,0.0
20200108:0311,0.0,0.0,0.0,2.67,4.9,0.0
20200108:0411,0.0,0.0,0.0,1.68,4.97,0.0
20200108:0511,0.0,0.0,0.0,1.06,5.38,0.0
20200108:0611,0.0,0.0,0.0,0.04,6.34,0.0
20200108:0711,0.0,0.0,0.0,-0.99,5.59,0.0
20200108:0811,0.0,0.0,0.0,-1.87,4.76,0.0
20200108:0911,68.68,89.08,2.78,-1.98,4.62,0.0
20200108:1011,0.2,5.98,6.14,-1.93,5.1,0.0
20200108:1111,1.47,8.77,7.8,-1.94,5.45,0.0
20200108:1211,395.88,434.02,7.64,-1.92,5.93,0.0
20200108:1311,61.85,82.43,5.67,-2.17,6.21,0.0
20200108:1411,0.0,0.8,2.04,-2.44,6.0,0.0
20200108:1511,0.0,0.0,0.0,-2.47,5.86,0.0
20200108:1611,0.0,0.0,0.0,-2.48,5.86,0.0
20200108:1711,0.0,0.0,0.0,-2.39,5.93,0.0
20200108:1811,0.0,0.0,0.0,-2.45,5.86,0.0
20200108:1911,0.0,0.0,0.0,-2.25,5.31,0.0
20200108:2011,0.0,0.0,0.0,-2.23,5.72,0.0
20200108:2111,0.0,0.0,0.0,-2.12,6.07,0.0
20200108:2211,0.0,0.0,0.0,-2.28,6.34,0.0
20200108:2311,0.0,0.0,0.0,-2.1,6.14,0.0
20200109:0011,0.0,0.0,0.0,-2.05,5.52,0.0
20200109:0111,0.0,0.0,0.0,-2.01,5.17,0.0
20200109:0211,0.0,0.0,0.0,-2.32,4.76,0.0
20200109:0311,0.0,0.0,0.0,-2.72,4.14,0.0
20200109:0411,0.0,0.0,0.0,-3.26,3.52,0.0
20200109:0511,0.0,0.0,0.0,-3.82,3.17,0.0
20200109:0611,0.0,0.0,0.0,-4.05,2.62,0.0
20200109:0711,0.0,0.0,0.0,-4.02,1.31,0.0
20200109:0811,0.0,0.0,0.0,-4.24,1.1,0.0
20200109:0911,0.0,2.43,2.89,-3.72,0.62,0.0
20200109:1011,4.8,14.52,6.26,-3.49,0.21,0.0
20200109:1111,145.77,172.4,7.93,-3.48,0.34,0.0
20200109:1211,3.93,13.12,7.78,-3.21,0.14,0.0
20200109:1311,0.19,5.94,5.82,-3.66,0.41,0.0
20200109:1411,0.0,1.6,2.2,-3.96,0.62,0.0
20200109:1511,0.0,0.0,0.0,-4.27,0.97,0.0
20200109:1611,0.0,0.0,0.0,-4.53,1.1,0.0
20200109:1711,0.0,0.0,0.0,-4.84,1.24,0.0
20200109:1811,0.0,0.0,0.0,-5.1,1.31,0.0
20200109:1911,0.0,0.0,0.0,-5.39,1.66,0.0
20200109:2011,0.0,0.0,0.0,-5.81,1.72,0.0
20200109:2111,0.0,0.0,0.0,-6.47,1.59,0.0
20200109:2211,0.0,0.0,0.0,-7.21,1.72,0.0
20200109:2311,0.0,0.0,0.0,-7.78,1.86,0.0
20200110:0011,0.0,0.0,0.0,-8.16,1.79,0.0
20200110:0111,0.0,0.0,0.0,-8.54,1.86,0.0
20200110:0211,0.0,0.0,0.0,-8.63,1.93,0.0
20200110:0311,0.0,0.0,0.0,-8.78,1.93,0.0
20200110:0411,0.0,0.0,0.0,-9.06,2.0,0.0
20200110:0511,0.0,0.0,0.0,-9.48,1.93,0.0
20200110:0611,0.0,0.0,0.0,-9.85,1.93,0.0
20200110:0711,0.0,0.0,0.0,-10.44,1.79,0.0
20200110:0811,0.0,0.0,0.0,-11.67,1.86,0.0
20200110:0911,0.0,2.43,3.0,-12.35,2.0,0.0
20200110:1011,5.64,15.37,6.38,-12.13,1.93,0.0
20200110:1111,1.6,8.77,8.07,-11.61,1.93,0.0
20200110:1211,1.58,8.75,7.94,-11.09,1.93,0.0
20200110:1311,0.61,6.79,5.98,-10.64,1.93,0.0
20200110:1411,0.0,1.6,2.37,-10.59,1.86,0.0
20200110:1511,0.0,0.0,0.0,-10.42,1.93,0.0
20200110:1611,0.0,0.0,0.0,-10.34,1.86,0.0
20200110:1711,0.0,0.0,0.0,-10.57,1.79,0.0
20200110:1811,0.0,0.0,0.0,-10.42,1.66,0.0
20200110:1911,0.0,0.0,0.0,-10.62,1.45,0.0
20200110:2011,0.0,0.0,0.0,-9.5,1.17,0.0
20200110:2111,0.0,0.0,0.0,-8.58,1.1,0.0
20200110:2211,0.0,0.0,0.0,-7.88,0.97,0.0
20200110:2311,0.0,0.0,0.0,-7.24,0.9,0.0
20200111:0011,0.0,0.0,0.0,-7.83,1.38,0.0
20200111:0111,0.0,0.0,0.0,-7.85,1.66,0.0
20200111:0211,0.0,0.0,0.0,-8.01,2.0,0.0
20200111:0311,0.0,0.0,0.0,-7.39,2.34,0.0
20200111:0411,0.0,0.0,0.0,-5.39,2.9,0.0
20200111:0511,0.0,0.0,0.0,-4.49,3.38,0.0
20200111:0611,0.0,0.0,0.0,-3.57,3.93,0.0
20200111:0711,0.0,0.0,0.0,-2.53,4.28,0.0
20200111:0811,0.0,0.0,0.0,-1.93,4.41,0.0
20200111:0911,0.0,2.43,3.12,-1.3,4.62,0.0
20200111:1011,10.49,23.05,6.52,-0.7,4.55,0.0
20200111:1111,31.0,48.98,8.22,-0.11,4.48,0.0
20200111:1211,528.18,588.73,8.09,0.27,4.34,0.0
20200111:1311,1.3,8.49,6.15,0.39,3.86,0.0
20200111:1411,0.0,1.6,2.54,0.46,3.59,0.0
20200111:1511,0.0,0.0,0.0,0.5,3.1,0.0
20200111:1611,0.0,0.0,0.0,0.59,2.97,0.0
20200111:1711,0.0,0.0,0.0,0.66,2.55,0.0
20200111:1811,0.0,0.0,0.0,0.52,2.0,0.0
20200111:1911,0.0,0.0,0.0,0.25,1.45,0.0
20200111:2011,0.0,0.0,0.0,0.24,2.07,0.0
20200111:2111,0.0,0.0,0.0,0.39,2.9,0.0
20200111:2211,0.0,0.0,0.0,0.1,3.17,0.0
20200111:2311,0.0,0.0,0.0,-0.16,3.31,0.0
20200112:0011,0.0,0.0,0.0,-0.33,3.03,0.0
20200112:0111,0.0,0.0,0.0,-0.69,3.17,0.0
20200112:0211,0.0,0.0,0.0,-0.69,3.79,0.0
20200112:0311,0.0,0.0,0.0,-0.87,4.07,0.0
20200112:0411,0.0,0.0,0.0,-1.1,4.83,0.0
20200112:0511,0.0,0.0,0.0,-1.79,4.97,0.0
20200112:0611,0.0,0.0,0.0,-2.25,5.1,0.0
20200112:0711,0.0,0.0,0.0,-2.38,4.62,0.0
20200112:0811,0.0,0.0,0.0,-2.86,4.48,0.0
20200112:0911,0.0,3.24,3.24,-3.05,4.07,0.0
20200112:1011,7.05,17.92,6.66,-3.64,3.45,0.0
20200112:1111,1.95,9.64,8.37,-3.86,3.1,0.0
20200112:1211,94.25,117.09,8.26,-3.89,3.1,0.0
20200112:1311,11.22,23.78,6.33,-4.12,2.83,0.0
20200112:1411,0.0,1.61,2.72,-4.4,2.9,0.0
20200112:1511,0.0,0.0,0.0,-4.73,2.97,0.0
20200112:1611,0.0,0.0,0.0,-4.71,3.03,0.0
20200112:1711,0.0,0.0,0.0,-5.0,3.03,0.0
20200112:1811,0.0,0.0,0.0,-5.51,2.9,0.0
20200112:1911,0.0,0.0,0.0,-5.04,3.03,0.0
20200112:2011,0.0,0.0,0.0,-4.91,2.21,0.0
20200112:2111,0.0,0.0,0.0,-5.35,2.07,0.0
20200112:2211,0.0,0.0,0.0,-6.03,2.21,0.0
20200112:2311,0.0,0.0,0.0,-6.01,2.76,0.0
20200113:0011,0.0,0.0,0.0,-6.13,2.97,0.0
20200113:0111,0.0,0.0,0.0,-5.96,3.03,0.0
20200113:0211,0.0,0.0,0.0,-5.66,2.9,0.0
20200113:0311,0.0,0.0,0.0,-5.39,2.55,0.0
20200113:0411,0.0,0.0,0.0,-5.3,2.69,0.0
20200113:0511,0.0,0.0,0.0,-5.15,2.69,0.0
20200113:0611,0.0,0.0,0.0,-4.94,2.69,0.0
20200113:0711,0.0,0.0,0.0,-4.79,2.55,0.0
20200113:0811,0.0,0.0,0.0,-4.19,2.97,0.0
20200113:0911,0.0,4.86,3.38,-4.13,3.1,0.0
20200113:1011,0.57,6.83,6.8,-4.55,2.9,0.0
20200113:1111,1.95,9.64,8.53,-4.19,2.34,0.0
20200113:1211,1.94,9.63,8.43,-3.74,2.28,0.0
20200113:1311,0.55,6.8,6.51,-3.65,2.41,0.0
20200113:1411,0.0,2.41,2.91,-3.5,2.34,0.0
20200113:1511,0.0,0.0,0.0,-4.0,2.34,0.0
20200113:1611,0.0,0.0,0.0,-4.0,2.21,0.0
20200113:1711,0.0,0.0,0.0,-3.65,2.41,0.0
20200113:1811,0.0,0.0,0.0,-3.47,2.97,0.0
20200113:1911,0.0,0.0,0.0,-2.96,3.79,0.0
20200113:2011,0.0,0.0,0.0,-2.67,4.07,0.0
20200113:2111,0.0,0.0,0.0,-2.38,4.34,0.0
20200113:2211,0.0,0.0,0.0,-2.04,4.55,0.0
20200113:2311,0.0,0.0,0.0,-1.77,4.9,0.0
20200114:0011,0.0,0.0,0.0,-1.63,5.52,0.0
20200114:0111,0.0,0.0,0.0,-1.64,5.59,0.0
20200114:0211,0.0,0.0,0.0,-1.7,5.52,0.0
20200114:0311,0.0,0.0,0.0,-1.71,5.52,0.0
20200114:0411,0.0,0.0,0.0,-1.69,4.9,0.0
20200114:0511,0.0,0.0,0.0,-1.71,3.38,0.0
20200114:0611,0.0,0.0,0.0,-1.97,2.21,0.0
20200114:0711,0.0,0.0,0.0,-2.19,2.21,0.0
20200114:0811,0.0,0.0,0.0,-1.7,2.69,0.0
20200114:0911,0.0,3.24,3.52,-1.24,3.52,0.0
20200114:1011,15.59,29.86,6.96,-1.28,4.55,0.0
20200114:1111,580.37,640.57,8.7,-1.61,5.03,0.0
20200114:1211,1.92,9.63,8.61,-2.14,4.97,0.0
20200114:1311,0.55,6.8,6.69,-2.48,4.34,0.0
20200114:1411,333.73,365.46,3.1,-2.94,3.86,0.0
20200114:1511,0.0,0.0,0.0,-3.23,3.59,0.0
20200114:1611,0.0,0.0,0.0,-3.39,3.31,0.0
20200114:1711,0.0,0.0,0.0,-3.7,2.76,0.0
20200114:1811,0.0,0.0,0.0,-3.68,2.76,0.0
20200114:1911,0.0,0.0,0.0,-2.76,2.97,0.0
20200114:2011,0.0,0.0,0.0,-2.38,2.97,0.0
20200114:2111,0.0,0.0,0.0,-2.09,2.83,0.0
20200114:2211,0.0,0.0,0.0,-1.91,2.9,0.0
20200114:2311,0.0,0.0,0.0,-1.84,2.97,0.0
20200115:0011,0.0,0.0,0.0,-1.93,2.28,0.0
20200115:0111,0.0,0.0,0.0,-1.96,1.38,0.0
20200115:0211,0.0,0.0,0.0,-2.08,1.66,0.0
20200115:0311,0.0,0.0,0.0,-1.68,2.9,0.0
20200115:0411,0.0,0.0,0.0,-1.58,4.34,0.0
20200115:0511,0.0,0.0,0.0,-1.34,5.31,0.0
20200115:0611,0.0,0.0,0.0,-2.21,4.76,0.0
20200115:0711,0.0,0.0,0.0,-2.44,4.21,0.0
20200115:0811,0.0,0.0,0.0,-2.7,4.21,0.0
20200115:0911,0.0,3.24,3.66,-2.94,4.34,0.0
20200115:1011,0.95,7.68,7.12,-2.96,4.41,0.0
20200115:1111,2.41,10.52,8.88,-2.94,4.0,0.0
20200115:1211,19.74,35.01,8.8,-2.76,4.07,0.0
20200115:1311,96.51,119.55,6.89,-2.62,3.93,0.0
20200115:1411,0.0,2.41,3.29,-2.42,3.86,0.0
20200115:1511,0.0,0.0,0.0,-2.51,3.38,0.0
20200115:1611,0.0,0.0,0.0,-3.06,3.24,0.0
20200115:1711,0.0,0.0,0.0,-3.47,2.9,0.0
20200115:1811,0.0,0.0,0.0,-3.21,3.38,0.0
20200115:1911,0.0,0.0,0.0,-2.31,3.66,0.0
20200115:2011,0.0,0.0,0.0,-2.67,3.79,0.0
20200115:2111,0.0,0.0,0.0,-2.07,4.34,0.0
20200115:2211,0.0,0.0,0.0,-1.14,4.62,0.0
20200115:2311,0.0,0.0,0.0,-0.78,4.76,0.0
20200116:0011,0.0,0.0,0.0,-0.71,4.69,0.0
20200116:0111,0.0,0.0,0.0,-0.82,4.55,0.0
20200116:0211,0.0,0.0,0.0,-1.12,4.21,0.0
20200116:0311,0.0,0.0,0.0,-1.09,4.69,0.0
20200116:0411,0.0,0.0,0.0,-0.8,4.62,0.0
20200116:0511,0.0,0.0,0.0,-0.76,4.48,0.0
20200116:0611,0.0,0.0,0.0,-0.63,4.28,0.0
20200116:0711,0.0,0.0,0.0,-0.9,4.62,0.0
20200116:0811,0.0,0.0,0.0,-0.98,4.28,0.0
20200116:0911,0.0,3.23,3.82,-0.66,4.62,0.0
20200116:1011,1.76,9.38,7.29,-0.4,4.97,0.0
20200116:1111,31.24,49.18,9.06,-0.59,5.17,0.0
20200116:1211,40.75,60.09,8.99,-1.01,4.76,0.0
20200116:1311,0.92,7.65,7.09,-1.3,4.62,0.0
20200116:1411,75.18,96.3,3.5,-1.75,4.14,0.0
20200116:1511,0.0,0.0,0.0,-2.09,3.24,0.0
20200116:1611,0.0,0.0,0.0,-2.52,2.41,0.0
20200116:1711,0.0,0.0,0.0,-2.76,1.59,0.0
20200116:1811,0.0,0.0,0.0,-3.48,1.24,0.0
20200116:1911,0.0,0.0,0.0,-3.65,2.14,0.0
20200116:2011,0.0,0.0,0.0,-2.78,2.41,0.0
20200116:2111,0.0,0.0,0.0,-1.7,2.97,0.0
20200116:2211,0.0,0.0,0.0,-1.11,3.72,0.0
20200116:2311,0.0,0.0,0.0,-1.12,3.52,0.0
20200117:0011,0.0,0.0,0.0,-1.19,3.31,0.0
20200117:0111,0.0,0.0,0.0,-0.92,3.52,0.0
20200117:0211,0.0,0.0,0.0,-0.79,3.45,0.0
20200117:0311,0.0,0.0,0.0,-0.79,3.03,0.0
20200117:0411,0.0,0.0,0.0,-0.78,2.69,0.0
20200117:0511,0.0,0.0,0.0,-0.79,2.34,0.0
20200117:0611,0.0,0.0,0.0,-0.79,2.0,0.0
20200117:0711,0.0,0.0,0.0,-0.52,1.86,0.0
20200117:0811,0.0,0.0,0.0,-0.41,1.79,0.0
20200117:0911,123.4,148.76,3.98,-0.23,1.66,0.0
20200117:1011,14.82,28.99,7.46,-0.05,1.45,0.0
20200117:1111,351.3,397.93,9.25,0.11,1.45,0.0
20200117:1211,2.35,10.51,9.19,0.21,1.45,0.0
20200117:1311,7.42,18.71,7.29,0.13,1.45,0.0
20200117:1411,0.0,3.22,3.71,0.16,1.38,0.0
20200117:1511,0.0,0.0,0.0,-0.06,1.38,0.0
20200117:1611,0.0,0.0,0.0,-0.05,1.31,0.0
20200117:1711,0.0,0.0,0.0,-0.14,1.31,0.0
20200117:1811,0.0,0.0,0.0,-0.33,1.31,0.0
20200117:1911,0.0,0.0,0.0,-0.06,0.97,0.0
20200117:2011,0.0,0.0,0.0,-0.19,0.83,0.0
20200117:2111,0.0,0.0,0.0,-0.74,1.03,0.0
20200117:2211,0.0,0.0,0.0,-1.06,1.24,0.0
20200117:2311,0.0,0.0,0.0,-1.01,1.31,0.0
20200118:0011,0.0,0.0,0.0,-0.64,1.52,0.0
20200118:0111,0.0,0.0,0.0,-0.47,1.66,0.0
20200118:0211,0.0,0.0,0.0,-0.47,1.59,0.0
20200118:0311,0.0,0.0,0.0,-0.62,1.31,0.0
20200118:0411,0.0,0.0,0.0,-0.68,0.97,0.0
20200118:0511,0.0,0.0,0.0,-1.08,0.97,0.0
20200118:0611,0.0,0.0,0.0,-2.2,1.66,0.0
20200118:0711,0.0,0.0,0.0,-2.31,1.59,0.0
20200118:0811,0.0,0.0,0.0,-2.71,1.79,0.0
20200118:0911,2.41,10.51,4.14,-3.07,1.79,0.0
20200118:1011,4.77,14.49,7.65,-2.89,1.79,0.0
20200118:1111,113.07,137.85,9.44,-2.88,1.93,0.0
20200118:1211,243.08,274.6,9.39,-2.85,2.14,0.0
20200118:1311,143.79,169.25,7.5,-3.16,2.41,0.0
20200118:1411,0.0,3.22,3.92,-3.56,2.55,0.0
20200118:1511,0.0,0.0,0.0,-3.84,2.62,0.0
20200118:1611,0.0,0.0,0.0,-4.26,2.62,0.0
20200118:1711,0.0,0.0,0.0,-4.8,2.48,0.0
20200118:1811,0.0,0.0,0.0,-5.11,2.83,0.0
20200118:1911,0.0,0.0,0.0,-4.91,2.9,0.0
20200118:2011,0.0,0.0,0.0,-4.96,2.9,0.0
